id_oferta,origen,destino,hora_salida,hora_llegada,duracion,num_vuelo,aerolinea,cod_aerolinea,escalas,precio
1,London Heathrow,Paris Charles de Gaulle,2019-11-09T06:25:00,2019-11-09T08:45:00,80,1081,Air France,AF,0,75.0
2,London Heathrow,Paris Charles de Gaulle,2019-11-09T07:20:00,2019-11-09T09:35:00,75,304,British Airways,BA,0,88.8
3,London Gatwick,Paris Charles de Gaulle,2019-11-09T21:10:00,2019-11-09T23:25:00,75,8773,Vueling Airlines,VY,0,44.0
4,London Heathrow,Paris Charles de Gaulle,2019-11-09T15:35:00,2019-11-09T17:55:00,80,1781,Air France,AF,0,75.0
5,London Heathrow,Paris Charles de Gaulle,2019-11-09T19:50:00,2019-11-09T22:05:00,75,1181,Air France,AF,0,86.0
6,London Heathrow,Paris Charles de Gaulle,2019-11-09T09:00:00,2019-11-09T11:25:00,85,1681,Air France,AF,0,95.0
7,London Gatwick,Paris Charles de Gaulle,2019-11-09T16:45:00,2019-11-09T19:00:00,75,8775,Vueling Airlines,VY,0,49.0
8,London Gatwick,Paris Charles de Gaulle,2019-11-09T12:55:00,2019-11-09T15:10:00,75,8779,Vueling Airlines,VY,0,49.0
9,London Heathrow,Paris Charles de Gaulle,2019-11-09T20:30:00,2019-11-09T22:45:00,75,326,British Airways,BA,0,83.6
10,London Heathrow,Paris Charles de Gaulle,2019-11-09T17:35:00,2019-11-09T19:55:00,80,1281,Air France,AF,0,75.0
